"Provincia" "Municipio" "Partido" "VotosMuni" "PorcMuni" "Votos" "Porc" "VotosCCAA" "PorcCCAA"
"156" "AVILA" "BERCIAL DE ZAPARDIEL" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"157" "AVILA" "BERCIAL DE ZAPARDIEL" "PACMA" 0 0 367 0.449182414569666 6508 0.536034481480536
"158" "AVILA" "BERCIAL DE ZAPARDIEL" "PCAS" 1 0.854700854700855 194 0.237442475276608 2834 0.233423743164696
"159" "AVILA" "BERCIAL DE ZAPARDIEL" "Podemos" 10 8.54700854700855 2984 3.65220797023402 61666 5.07914909879821
"160" "AVILA" "BERCIAL DE ZAPARDIEL" "PP" 45 38.4615384615385 27829 34.060755899344 381498 31.4222622335374
"161" "AVILA" "BERCIAL DE ZAPARDIEL" "PSOE" 30 25.6410256410256 19764 24.1897581513757 364528 30.0245202005434
"162" "AVILA" "BERCIAL DE ZAPARDIEL" "PYC(ANULADA)" 0 0 0 0 0 0
"163" "AVILA" "BERCIAL DE ZAPARDIEL" "VOX" 15 12.8205128205128 14246 17.4361108391266 214223 17.6445781693615
"164" "AVILA" "BERCIAL DE ZAPARDIEL" "XAV" 10 8.54700854700855 13690 16.755605600705 13861 1.14166778546431
"165" "AVILA" "BERCIAL DE ZAPARDIEL" "Votos en blanco" 1 0.854700854700855 625 0.764956428081856 12153 1.00098756199031
"166" "AVILA" "BERNUY-ZAPARDIEL" "Cs" 1 1.38888888888889 1926 2.35728972877705 54538 4.49204802565849
"167" "AVILA" "BERNUY-ZAPARDIEL" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"168" "AVILA" "BERNUY-ZAPARDIEL" "PACMA" 0 0 367 0.449182414569666 6508 0.536034481480536
"169" "AVILA" "BERNUY-ZAPARDIEL" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"170" "AVILA" "BERNUY-ZAPARDIEL" "Podemos" 0 0 2984 3.65220797023402 61666 5.07914909879821
"171" "AVILA" "BERNUY-ZAPARDIEL" "PP" 37 51.3888888888889 27829 34.060755899344 381498 31.4222622335374
"172" "AVILA" "BERNUY-ZAPARDIEL" "PSOE" 19 26.3888888888889 19764 24.1897581513757 364528 30.0245202005434
"173" "AVILA" "BERNUY-ZAPARDIEL" "PYC(ANULADA)" 0 0 0 0 0 0
"174" "AVILA" "BERNUY-ZAPARDIEL" "VOX" 11 15.2777777777778 14246 17.4361108391266 214223 17.6445781693615
"175" "AVILA" "BERNUY-ZAPARDIEL" "XAV" 4 5.55555555555556 13690 16.755605600705 13861 1.14166778546431
"176" "AVILA" "BERNUY-ZAPARDIEL" "Votos en blanco" 0 0 625 0.764956428081856 12153 1.00098756199031
"177" "AVILA" "BERROCALEJO DE ARAGONA" "Cs" 1 2.77777777777778 1926 2.35728972877705 54538 4.49204802565849
"178" "AVILA" "BERROCALEJO DE ARAGONA" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"179" "AVILA" "BERROCALEJO DE ARAGONA" "PACMA" 3 8.33333333333333 367 0.449182414569666 6508 0.536034481480536
"180" "AVILA" "BERROCALEJO DE ARAGONA" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"181" "AVILA" "BERROCALEJO DE ARAGONA" "Podemos" 5 13.8888888888889 2984 3.65220797023402 61666 5.07914909879821
