"Provincia"	"Municipio"	"Partido"	"VotosMuni"
"265"	"AVILA"	"BRABOS"	"ÁvilaLP"	0
"266"	"AVILA"	"BRABOS"	"Cs"	5
"267"	"AVILA"	"BRABOS"	"FE de las JONS"	0
"268"	"AVILA"	"BRABOS"	"IU"	0
"269"	"AVILA"	"BRABOS"	"PACMA"	1
"270"	"AVILA"	"BRABOS"	"Podemos"	3
"271"	"AVILA"	"BRABOS"	"PP"	28
"272"	"AVILA"	"BRABOS"	"PSOE"	6
"273"	"AVILA"	"BRABOS"	"VOX"	1
"274"	"AVILA"	"BRABOS"	"XAV"	3
"275"	"AVILA"	"BRABOS"	"Votos en blanco"	0
"276"	"AVILA"	"BRABOS"	"Votos nulos"	0
"277"	"AVILA"	"BULARROS"	"ÁvilaLP"	0
"278"	"AVILA"	"BULARROS"	"Cs"	9
"279"	"AVILA"	"BULARROS"	"FE de las JONS"	0
"280"	"AVILA"	"BULARROS"	"IU"	0
"281"	"AVILA"	"BULARROS"	"PACMA"	0
"282"	"AVILA"	"BULARROS"	"Podemos"	2
"283"	"AVILA"	"BULARROS"	"PP"	20
"284"	"AVILA"	"BULARROS"	"PSOE"	11
"285"	"AVILA"	"BULARROS"	"VOX"	3
"286"	"AVILA"	"BULARROS"	"XAV"	6
"287"	"AVILA"	"BULARROS"	"Votos en blanco"	0
"288"	"AVILA"	"BULARROS"	"Votos nulos"	2
"289"	"AVILA"	"BURGOHONDO"	"ÁvilaLP"	3
"290"	"AVILA"	"BURGOHONDO"	"Cs"	84
"291"	"AVILA"	"BURGOHONDO"	"FE de las JONS"	0
"292"	"AVILA"	"BURGOHONDO"	"IU"	9
"293"	"AVILA"	"BURGOHONDO"	"PACMA"	6
"294"	"AVILA"	"BURGOHONDO"	"Podemos"	19
"295"	"AVILA"	"BURGOHONDO"	"PP"	394
"296"	"AVILA"	"BURGOHONDO"	"PSOE"	139
"297"	"AVILA"	"BURGOHONDO"	"VOX"	43
"298"	"AVILA"	"BURGOHONDO"	"XAV"	141
"299"	"AVILA"	"BURGOHONDO"	"Votos en blanco"	6
"300"	"AVILA"	"BURGOHONDO"	"Votos nulos"	5
"301"	"AVILA"	"CABEZAS DE ALAMBRE"	"ÁvilaLP"	0
"302"	"AVILA"	"CABEZAS DE ALAMBRE"	"Cs"	4
"303"	"AVILA"	"CABEZAS DE ALAMBRE"	"FE de las JONS"	0
"304"	"AVILA"	"CABEZAS DE ALAMBRE"	"IU"	0
"305"	"AVILA"	"CABEZAS DE ALAMBRE"	"PACMA"	0
"306"	"AVILA"	"CABEZAS DE ALAMBRE"	"Podemos"	3
"307"	"AVILA"	"CABEZAS DE ALAMBRE"	"PP"	73
"308"	"AVILA"	"CABEZAS DE ALAMBRE"	"PSOE"	27
"309"	"AVILA"	"CABEZAS DE ALAMBRE"	"VOX"	4
"310"	"AVILA"	"CABEZAS DE ALAMBRE"	"XAV"	4
"311"	"AVILA"	"CABEZAS DE ALAMBRE"	"Votos en blanco"	0
"312"	"AVILA"	"CABEZAS DE ALAMBRE"	"Votos nulos"	0
"313"	"AVILA"	"CABEZAS DEL POZO"	"ÁvilaLP"	1
"314"	"AVILA"	"CABEZAS DEL POZO"	"Cs"	5
"315"	"AVILA"	"CABEZAS DEL POZO"	"FE de las JONS"	0
"316"	"AVILA"	"CABEZAS DEL POZO"	"IU"	1
"317"	"AVILA"	"CABEZAS DEL POZO"	"PACMA"	0
"318"	"AVILA"	"CABEZAS DEL POZO"	"Podemos"	4
"319"	"AVILA"	"CABEZAS DEL POZO"	"PP"	26
"320"	"AVILA"	"CABEZAS DEL POZO"	"PSOE"	30
"321"	"AVILA"	"CABEZAS DEL POZO"	"VOX"	0
"322"	"AVILA"	"CABEZAS DEL POZO"	"XAV"	0
"323"	"AVILA"	"CABEZAS DEL POZO"	"Votos en blanco"	1
"324"	"AVILA"	"CABEZAS DEL POZO"	"Votos nulos"	1
"325"	"AVILA"	"CABEZAS DEL VILLAR"	"ÁvilaLP"	0
"326"	"AVILA"	"CABEZAS DEL VILLAR"	"Cs"	7
"327"	"AVILA"	"CABEZAS DEL VILLAR"	"FE de las JONS"	0
"328"	"AVILA"	"CABEZAS DEL VILLAR"	"IU"	0
"329"	"AVILA"	"CABEZAS DEL VILLAR"	"PACMA"	0
"330"	"AVILA"	"CABEZAS DEL VILLAR"	"Podemos"	5
"331"	"AVILA"	"CABEZAS DEL VILLAR"	"PP"	115
"332"	"AVILA"	"CABEZAS DEL VILLAR"	"PSOE"	37
"333"	"AVILA"	"CABEZAS DEL VILLAR"	"VOX"	12
"334"	"AVILA"	"CABEZAS DEL VILLAR"	"XAV"	4
"335"	"AVILA"	"CABEZAS DEL VILLAR"	"Votos en blanco"	0
"336"	"AVILA"	"CABEZAS DEL VILLAR"	"Votos nulos"	4
"337"	"AVILA"	"CABIZUELA"	"ÁvilaLP"	0
"338"	"AVILA"	"CABIZUELA"	"Cs"	9
"339"	"AVILA"	"CABIZUELA"	"FE de las JONS"	0
"340"	"AVILA"	"CABIZUELA"	"IU"	2
"341"	"AVILA"	"CABIZUELA"	"PACMA"	0
"342"	"AVILA"	"CABIZUELA"	"Podemos"	0
"343"	"AVILA"	"CABIZUELA"	"PP"	32
"344"	"AVILA"	"CABIZUELA"	"PSOE"	9
