Código.de.mesa;Provincia;Código..municipio;Municipio;Distrito;Sección;Mesa;Censo;Primer.Avance;Segundo.Avance;Total.Votantes;Votos.Nulos;Votos.Blanco;Partido;Nº.Votos
154;05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;VOX;16
155;05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;XAV;15
156;05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;Cs;2
157;05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;PACMA;2
158;05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;FEdelasJONS;2
159;05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;PCAS;0
160;05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;PYC(ANULADA);0
161;05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;PP;186
162;05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;PSOE;160
163;05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;VOX;78
164;05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;XAV;25
165;05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;Podemos;24
166;05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;Cs;23
167;05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;PACMA;7
168;05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;PCAS;1
169;05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;PYC(ANULADA);0
170;05-014-2-002-A;AVILA;14;ARENAS DE SAN PEDRO;2;2;A;866;315;452;517;7;6;FEdelasJONS;0
171;05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;PSOE;169
172;05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;PP;169
173;05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;VOX;74
174;05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;Podemos;33
175;05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;Cs;16
176;05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;XAV;15
177;05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;PACMA;8
178;05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;PCAS;1
179;05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;PYC(ANULADA);0
180;05-014-2-002-B;AVILA;14;ARENAS DE SAN PEDRO;2;2;B;894;282;433;494;4;5;FEdelasJONS;0
181;05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;VOX;13
182;05-015-1-001-U;AVILA;15;AREVALILLO;1;1;U;70;23;28;43;0;1;PSOE;13
